infrastructure @ /home/caillot/Documents/Dataset/CARLA_Dataset_B/./I000/
         3123406 function calls (3085231 primitive calls) in 4.389 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    0.002    0.000    0.023    0.000 format.py:512(_filter_header)
     4221    0.002    0.000    0.006    0.000 enum.py:313(__call__)
     9808    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
      990    0.002    0.000    0.042    0.000 arraysetops.py:151(unique)
     2187    0.002    0.000    0.009    0.000 fromnumeric.py:2504(amax)
       34    0.002    0.000    0.004    0.000 enum.py:157(__new__)
       27    0.002    0.000    0.010    0.000 __init__.py:911(_rc_params_in_file)
     7392    0.002    0.000    0.003    0.000 sre_parse.py:254(get)
1260/1256    0.002    0.000    0.520    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      105    0.002    0.000    0.069    0.001 _distn_infrastructure.py:1689(__init__)
     4878    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
  606/230    0.002    0.000    0.026    0.000 sre_parse.py:435(_parse_sub)
     3144    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       99    0.002    0.000    0.002    0.000 {built-in method numpy.fromfile}
     1048    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
     2854    0.002    0.000    0.003    0.000 {built-in method builtins.max}
     1782    0.002    0.000    0.002    0.000 bbox.py:70(__init__)
    10789    0.001    0.000    0.002    0.000 utils.py:330(<genexpr>)
     1782    0.001    0.000    0.003    0.000 linalg.py:116(_makearray)
      998    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
    12336    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1782    0.001    0.000    0.033    0.000 <__array_function__ internals>:2(inv)
     3564    0.001    0.000    0.001    0.000 bbox.py:7(__init__)
      373    0.001    0.000    0.003    0.000 colors.py:185(_to_rgba_no_colorcycle)
     1232    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
       99    0.001    0.000    0.032    0.000 format.py:553(_read_array_header)
     2246    0.001    0.000    0.023    0.000 inspect.py:606(getdoc)
     2280    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:376(cached)
     3285    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:389(parent)
    10709    0.001    0.000    0.002    0.000 mathtext.py:2839(<genexpr>)
     1232    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     2187    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(amax)
     1789    0.001    0.000    0.010    0.000 __init__.py:777(__setitem__)
      614    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
     1309    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
       47    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     4192    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
     1295    0.001    0.000    0.003    0.000 font_manager.py:883(_json_decode)
     4819    0.001    0.000    0.001    0.000 inspect.py:2821(<genexpr>)
     1820    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      124    0.001    0.000    0.012    0.000 _distn_infrastructure.py:713(_construct_argparser)
      990    0.001    0.000    0.044    0.000 <__array_function__ internals>:2(unique)
      230    0.001    0.000    0.049    0.000 sre_compile.py:759(compile)
     1782    0.001    0.000    0.001    0.000 linalg.py:209(_assertNdSquareness)
     1309    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     3797    0.001    0.000    0.001    0.000 codecs.py:260(__init__)
      408    0.001    0.000    0.018    0.000 artist.py:1241(get_valid_values)
     3849    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
     6336    0.001    0.000    0.001    0.000 multiarray.py:707(dot)
      990    0.001    0.000    0.001    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     2025    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
     1782    0.001    0.000    0.001    0.000 linalg.py:111(get_linalg_error_extobj)
      124    0.001    0.000    0.044    0.000 _distn_infrastructure.py:794(_construct_doc)
     7561    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      383    0.001    0.000    0.003    0.000 inspect.py:1812(_signature_bound_method)
     1313    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1267    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
     5577    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       99    0.001    0.000    0.038    0.000 npyio.py:291(load)
       61    0.001    0.000    0.002    0.000 function_base.py:37(linspace)
     1048    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
     1881    0.001    0.000    0.009    0.000 tokenize.py:98(_compile)
      239    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      317    0.001    0.000    0.023    0.000 overrides.py:154(decorator)
      230    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
     3849    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
     7920    0.001    0.000    0.001    0.000 copy.py:182(_deepcopy_atomic)
     7505    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     3096    0.001    0.000    0.002    0.000 _asarray.py:88(asanyarray)
     3564    0.001    0.000    0.001    0.000 linalg.py:121(isComplexType)
       64    0.001    0.000    0.012    0.000 colors.py:729(from_list)
     1048    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
     1782    0.001    0.000    0.001    0.000 linalg.py:203(_assertRankAtLeast2)
     7505    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
   891/99    0.001    0.000    0.001    0.000 ast.py:76(_convert)
     1980    0.001    0.000    0.001    0.000 tokenize.py:170(add_whitespace)
     1034    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1011    0.001    0.000    0.003    0.000 {built-in method builtins.any}
        7    0.001    0.000    0.033    0.005 subprocess.py:1552(_execute_child)
     1678    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       99    0.001    0.000    0.036    0.000 format.py:678(read_array)
     4204    0.001    0.000    0.001    0.000 enum.py:631(__new__)
     1049    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
